审批名称,单据类型,优先级,适用系统,申请人条件,一级,二级,三级,,,
广东-二级部门经理-出库硬,CK_H,1,报销系统,部门:广东销售部^岗位名称:总经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
金融能源管理部-总监-出库硬,CK_H,1,报销系统,部门:金融能源管理部^岗位级别:总监,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
金融能源管理部-副总-出库硬,CK_H,1,报销系统,部门:金融能源管理部^岗位级别:一级部门副总经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
金融能源管理部-总经理-出库硬,CK_H,1,报销系统,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,,
金融销售部-销售-出库硬,CK_H,1,报销系统,部门:金融销售部^岗位级别:普通员工,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
金融销售部-二级部门经理-出库硬,CK_H,1,报销系统,部门:金融销售部^岗位级别:二级部门经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售一部-销售-出库硬,CK_H,1,报销系统,部门:能源销售一部^岗位级别:普通员工,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售一部-二级部门副经理-出库硬,CK_H,1,报销系统,部门:能源销售一部^岗位级别:二级部门副经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售一部-二级部门经理-出库硬,CK_H,1,报销系统,部门:能源销售一部^岗位级别:能源销售一部部门经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售二部-销售-出库硬,CK_H,1,报销系统,部门:能源销售二部^岗位级别:普通员工,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售二部-部门经理-出库硬,CK_H,1,报销系统,部门:能源销售二部^岗位名称:能源销售二部部门经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售三部-销售-出库硬,CK_H,1,报销系统,部门:能源销售三部^岗位级别:普通员工,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售三部-部门经理-出库硬,CK_H,1,报销系统,部门:能源销售三部^岗位级别:二部部门经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
政府军工管理部-普通员工-出库硬,CK_H,1,报销系统,部门:政府军工管理部^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
政府军工管理部-总经理-出库硬,CK_H,1,报销系统,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
政府军工管理部-副总裁-出库硬,CK_H,1,报销系统,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,,
政府军工管理部-二级经理-出库硬,CK_H,1,报销系统,部门:政府军工管理部^岗位级别:二级部门经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
军队销售部-销售-出库硬,CK_H,1,报销系统,部门:军队销售部^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
军队销售部-二级部门经理-出库硬,CK_H,1,报销系统,部门:军队销售部^岗位级别:二级部门经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
军队销售部-副总经理-出库硬,CK_H,1,报销系统,部门:军队销售部^岗位级别:一级部门副总经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
军工销售部-销售-出库硬,CK_H,1,报销系统,部门:军工销售部^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
公安销售部-销售-出库硬,CK_H,1,报销系统,部门:公安销售部^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
公安销售部-二级部门经理-出库硬,CK_H,1,报销系统,部门:公安销售部^岗位级别:二级部门经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
烟草销售部-销售-出库硬,CK_H,1,报销系统,部门:烟草销售部^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
烟草销售部-二级部门经理-出库硬,CK_H,1,报销系统,部门:烟草销售部^岗位级别:二级部门经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
河北-销售-出库硬,CK_H,1,报销系统,部门:河北^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
河北-区域经理-出库硬,CK_H,1,报销系统,部门:河北^岗位名称:区域经理,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,编码:vrv970002,编码:vrv100530,,,
河南-销售-出库硬,CK_H,1,报销系统,部门:河南^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
河南-区域经理-出库硬,CK_H,1,报销系统,部门:河南^岗位名称:区域经理,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,编码:vrv970002,编码:vrv100530,,,
山东-销售-出库硬,CK_H,1,报销系统,部门:山东^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
山东-区域经理-出库硬,CK_H,1,报销系统,部门:山东^岗位名称:区域经理,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,编码:vrv970002,编码:vrv100530,,,
安徽-销售-出库硬,CK_H,1,报销系统,部门:安徽^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
安徽-区域经理-出库硬,CK_H,1,报销系统,部门:安徽^岗位名称:区域经理,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,编码:vrv970002,编码:vrv100530,,,
陕西-销售-出库硬,CK_H,1,报销系统,部门:陕西^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
陕西-区域经理-出库硬,CK_H,1,报销系统,部门:陕西^岗位名称:区域经理,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,编码:vrv970002,编码:vrv100530,,,
四川-销售-出库硬,CK_H,1,报销系统,部门:四川^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
四川-区域经理-出库硬,CK_H,1,报销系统,部门:四川^岗位名称:区域经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
营销中心管理部-总经理-出库硬,CK_H,1,报销系统,部门:营销中心管理部^岗位级别:一级部门总经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv100530,,,,
营销中心管理部-副总经理-出库硬,CK_H,1,报销系统,部门:营销中心管理部^岗位级别:一级部门副总经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
营销中心管理部-普通员工-出库硬,CK_H,1,报销系统,部门:营销中心管理部^岗位级别:普通员工,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
天津-二级部门经理-出库硬,CK_H,1,报销系统,部门:天津^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
天津-销售-出库硬,CK_H,,报销系统,部门:天津^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
山西-二级部门经理-出库硬,CK_H,1,报销系统,部门:山西^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
山西-销售-出库硬,CK_H,,报销系统,部门:山西^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
宁夏-销售-出库硬,CK_H,1,报销系统,部门:宁夏^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
宁夏-二级部门经理-出库硬,CK_H,,报销系统,部门:宁夏^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
甘肃-二级部门经理-出库硬,CK_H,1,报销系统,部门:甘肃^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
甘肃-销售-出库硬,CK_H,,报销系统,部门:甘肃^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
新疆-二级部门经理-出库硬,CK_H,1,报销系统,部门:新疆^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
新疆-销售-出库硬,CK_H,1,报销系统,部门:新疆^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
重庆-销售-出库硬,CK_H,1,报销系统,部门:重庆^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
重庆-二级部门经理-出库硬,CK_H,1,报销系统,部门:重庆^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
贵州-销售-出库硬,CK_H,1,报销系统,部门:贵州^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
贵州-二级部门经理-出库硬,CK_H,1,报销系统,部门:贵州^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
云南-销售-出库硬,CK_H,1,报销系统,部门:云南^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
云南-二级部门经理-出库硬,CK_H,1,报销系统,部门:云南^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
广西-销售-出库硬,CK_H,1,报销系统,部门:广西^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
广西-二级部门经理-出库硬,CK_H,1,报销系统,部门:广西^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
湖北-销售-出库硬,CK_H,1,报销系统,部门:湖北^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
湖北-二级部门经理-出库硬,CK_H,1,报销系统,部门:湖北^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
湖南-销售-出库硬,CK_H,1,报销系统,部门:湖南^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
湖南-二级部门经理-出库硬,CK_H,1,报销系统,部门:湖南^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
黑龙江-销售-出库硬,CK_H,1,报销系统,部门:黑龙江^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
黑龙江-二级部门经理-出库硬,CK_H,1,报销系统,部门:黑龙江^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
吉林-销售-出库硬,CK_H,1,报销系统,部门:吉林^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
吉林-二级部门经理-出库硬,CK_H,1,报销系统,部门:吉林^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
辽宁-销售-出库硬,CK_H,1,报销系统,部门:辽宁^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
辽宁-二级部门经理-出库硬,CK_H,1,报销系统,部门:辽宁^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
内蒙-销售-出库硬,CK_H,1,报销系统,部门:内蒙^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
内蒙-二级部门经理-出库硬,CK_H,1,报销系统,部门:内蒙^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
广东-二级部门经理-出库硬,CK_S,1,报销系统,部门:广东销售部^岗位名称:总经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
金融能源管理部-总监-出库硬,CK_S,1,报销系统,部门:金融能源管理部^岗位级别:总监,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
金融能源管理部-副总-出库硬,CK_S,1,报销系统,部门:金融能源管理部^岗位级别:一级部门副总经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
金融能源管理部-总经理-出库硬,CK_S,1,报销系统,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,,
金融销售部-销售-出库硬,CK_S,1,报销系统,部门:金融销售部^岗位级别:普通员工,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
金融销售部-二级部门经理-出库硬,CK_S,1,报销系统,部门:金融销售部^岗位级别:二级部门经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售一部-销售-出库硬,CK_S,1,报销系统,部门:能源销售一部^岗位级别:普通员工,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售一部-二级部门副经理-出库硬,CK_S,1,报销系统,部门:能源销售一部^岗位级别:二级部门副经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售一部-二级部门经理-出库硬,CK_S,1,报销系统,部门:能源销售一部^岗位级别:能源销售一部部门经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售二部-销售-出库硬,CK_S,1,报销系统,部门:能源销售二部^岗位级别:普通员工,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售二部-部门经理-出库硬,CK_S,1,报销系统,部门:能源销售二部^岗位名称:能源销售二部部门经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售三部-销售-出库硬,CK_S,1,报销系统,部门:能源销售三部^岗位级别:普通员工,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
能源销售三部-部门经理-出库硬,CK_S,1,报销系统,部门:能源销售三部^岗位级别:二部部门经理,部门:金融能源管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
政府军工管理部-普通员工-出库硬,CK_S,1,报销系统,部门:政府军工管理部^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
政府军工管理部-总经理-出库硬,CK_S,1,报销系统,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
政府军工管理部-副总裁-出库硬,CK_S,1,报销系统,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,,
政府军工管理部-二级经理-出库硬,CK_S,1,报销系统,部门:政府军工管理部^岗位级别:二级部门经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
军队销售部-销售-出库硬,CK_S,1,报销系统,部门:军队销售部^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
军队销售部-二级部门经理-出库硬,CK_S,1,报销系统,部门:军队销售部^岗位级别:二级部门经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
军队销售部-副总经理-出库硬,CK_S,1,报销系统,部门:军队销售部^岗位级别:一级部门副总经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
军工销售部-销售-出库硬,CK_S,1,报销系统,部门:军工销售部^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
公安销售部-销售-出库硬,CK_S,1,报销系统,部门:公安销售部^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
公安销售部-二级部门经理-出库硬,CK_S,1,报销系统,部门:公安销售部^岗位级别:二级部门经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
烟草销售部-销售-出库硬,CK_S,1,报销系统,部门:烟草销售部^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
烟草销售部-二级部门经理-出库硬,CK_S,1,报销系统,部门:烟草销售部^岗位级别:二级部门经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
河北-销售-出库硬,CK_S,1,报销系统,部门:河北^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
河北-区域经理-出库硬,CK_S,1,报销系统,部门:河北^岗位名称:区域经理,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,编码:vrv970002,编码:vrv100530,,,
河南-销售-出库硬,CK_S,1,报销系统,部门:河南^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
河南-区域经理-出库硬,CK_S,1,报销系统,部门:河南^岗位名称:区域经理,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,编码:vrv970002,编码:vrv100530,,,
山东-销售-出库硬,CK_S,1,报销系统,部门:山东^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
山东-区域经理-出库硬,CK_S,1,报销系统,部门:山东^岗位名称:区域经理,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,编码:vrv970002,编码:vrv100530,,,
安徽-销售-出库硬,CK_S,1,报销系统,部门:安徽^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
安徽-区域经理-出库硬,CK_S,1,报销系统,部门:安徽^岗位名称:区域经理,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,编码:vrv970002,编码:vrv100530,,,
陕西-销售-出库硬,CK_S,1,报销系统,部门:陕西^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
陕西-区域经理-出库硬,CK_S,1,报销系统,部门:陕西^岗位名称:区域经理,部门:政府军工管理部^岗位级别:一级部门总经理^岗位名称:总经理,编码:vrv970002,编码:vrv100530,,,
四川-销售-出库硬,CK_S,1,报销系统,部门:四川^岗位级别:普通员工,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
四川-区域经理-出库硬,CK_S,1,报销系统,部门:四川^岗位名称:区域经理,部门:政府军工管理部^岗位级别:副总经理^岗位名称:副总裁,编码:vrv970002,编码:vrv100530,,,
营销中心管理部-总经理-出库硬,CK_S,1,报销系统,部门:营销中心管理部^岗位级别:一级部门总经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv100530,,,,
营销中心管理部-副总经理-出库硬,CK_S,1,报销系统,部门:营销中心管理部^岗位级别:一级部门副总经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
营销中心管理部-普通员工-出库硬,CK_S,1,报销系统,部门:营销中心管理部^岗位级别:普通员工,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
天津-二级部门经理-出库硬,CK_S,1,报销系统,部门:天津^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
天津-销售-出库硬,CK_S,,报销系统,部门:天津^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
山西-二级部门经理-出库硬,CK_S,1,报销系统,部门:山西^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
山西-销售-出库硬,CK_S,,报销系统,部门:山西^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
宁夏-销售-出库硬,CK_S,1,报销系统,部门:宁夏^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
宁夏-二级部门经理-出库硬,CK_S,,报销系统,部门:宁夏^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
甘肃-二级部门经理-出库硬,CK_S,1,报销系统,部门:甘肃^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
甘肃-销售-出库硬,CK_S,,报销系统,部门:甘肃^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
新疆-二级部门经理-出库硬,CK_S,1,报销系统,部门:新疆^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
新疆-销售-出库硬,CK_S,1,报销系统,部门:新疆^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
重庆-销售-出库硬,CK_S,1,报销系统,部门:重庆^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
重庆-二级部门经理-出库硬,CK_S,1,报销系统,部门:重庆^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
贵州-销售-出库硬,CK_S,1,报销系统,部门:贵州^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
贵州-二级部门经理-出库硬,CK_S,1,报销系统,部门:贵州^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
云南-销售-出库硬,CK_S,1,报销系统,部门:云南^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
云南-二级部门经理-出库硬,CK_S,1,报销系统,部门:云南^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
广西-销售-出库硬,CK_S,1,报销系统,部门:广西^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
广西-二级部门经理-出库硬,CK_S,1,报销系统,部门:广西^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
湖北-销售-出库硬,CK_S,1,报销系统,部门:湖北^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
湖北-二级部门经理-出库硬,CK_S,1,报销系统,部门:湖北^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
湖南-销售-出库硬,CK_S,1,报销系统,部门:湖南^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
湖南-二级部门经理-出库硬,CK_S,1,报销系统,部门:湖南^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
黑龙江-销售-出库硬,CK_S,1,报销系统,部门:黑龙江^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
黑龙江-二级部门经理-出库硬,CK_S,1,报销系统,部门:黑龙江^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
吉林-销售-出库硬,CK_S,1,报销系统,部门:吉林^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
吉林-二级部门经理-出库硬,CK_S,1,报销系统,部门:吉林^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
辽宁-销售-出库硬,CK_S,1,报销系统,部门:辽宁^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
辽宁-二级部门经理-出库硬,CK_S,1,报销系统,部门:辽宁^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
内蒙-销售-出库硬,CK_S,1,报销系统,部门:内蒙^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,
内蒙-二级部门经理-出库硬,CK_S,1,报销系统,部门:内蒙^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv970002,编码:vrv100530,,,