OTH-99,公共项目,99,Other
KR-20090001,China Online Shopping Mall,10,AD
CC-20090007,WCP Training,80,CC
KR-20090003,TCC Maintenance,20,AM
KR-20090004,RTRS-Roaming,20,AM
KR-20090005,Roamio,20,AM
KR-20090006,NUMS,20,AM
KR-20090007,IPMP,20,AM
KR-20090008,OWN,20,AM
KR-20090009,Automatic Payment,20,AM
KR-20090010,CDRS,20,AM
KR-20090011,Payment,20,AM
CC-20090008,SKT-CRM-PRM-AM,80,CC
CC-20090009,SKT Collection Process In,80,CC
KR-20090014,TU B2B,10,AD
KR-20090015,Xuguang,20,AM
CC-20090010,BI_Report_II,80,CC
CC-20090011,RNS ADHOC Test Project,80,CC
CN-20090007,yiquan medical school homepage,10,AD
CC-20090012,ideation system(Sample project),80,CC
CC-20090013,Brand management system(Sample project),80,CC
KR-20090020,PIS AD Project-1,10,AD
KR-20080001,SKT Product Management,10,AD
CC-20090001,General Project-Telecom,80,CC
CC-20090002,Development Pool-Telecom,80,CC
KR-20090021,ABAP Pool-AD,10,AD
KR-20090022,SKE EBC Marketing Project,10,AD
KR-20090023,EN-MALL Construction,10,AD
KR-20090024,SKE Enclean Portal OP-AD,10,AD
KR-20090025,MI Project,10,AD
KR-20090026,SK POS OP-AD,10,AD
KR-20090027,EN-MALL Enclean Portal-AD,10,AD
KR-20090028,SKCC Purchase sytem,10,AD
KR-20090029,SKE SHE MIS Project,10,AD
KR-20090030,SKN Network System OP,10,AD
KR-20090031,SK Shipping Renewal Project-AD,10,AD
KR-20090032,ABAP Pool-AM,20,AM
KR-20090033,Cashbag DW Ope,20,AM
KR-20090034,SKE HiOK CoP/KM,20,AM
KR-20090035,SKE HiOK Mail/Organization,20,AM
KR-20090036,SKE HiOK e-Approval,20,AM
KR-20090037,SKCC HiOK,20,AM
KR-20090038,EN-MALL-AM,20,AM
KR-20090039,SK Nxmile System OP,20,AM
KR-20090040,SK POS OP,20,AM
KR-20090042,SKE Enclean Portal OP,20,AM
KR-20090043,SKC Haas On Gong Service-6,20,AM
KR-20090044,SKCC OSP Ope,20,AM
KR-20090045,SKCC EPM Local System OP,20,AM
KR-20090046,SKCC GPM Ope,20,AM
KR-20090047,SKCC MyService/Tioom-08,20,AM
KR-20090048,SKCC MyService/Tioom-09,20,AM
KR-20090049,SKCC Biz Support Ope,20,AM
KR-20090050,SKCC Mgt Support Ope,20,AM
KR-20090051,SKCC HRMS Ope,20,AM
KR-20090052,SKCC Biz. Support Web,20,AM
KR-20090053,SKN-ES MIS Biz Suppor®,20,AM
KR-20090054,SKN(ES) Oil-Biz System OP,20,AM
KR-20090055,SKN-ES MIS Biz Suppor(e),20,AM
KR-20090056,SK Energy MIS Retail/Sales,20,AM
KR-20090057,SK Energy MIS Providers Mgt Upgrade,20,AM
KR-20090058,SK Energy MIS Mgt Support,20,AM
KR-20090059,SKN Network System OP-AM,20,AM
KR-20090060,SKEC MIS OP,20,AM
KR-20090061,SKN 08-IT(retail),20,AM
KR-20090062,SKN 08-Trade,20,AM
CC-20090014,Web(Tbiz) Java Sample Project,10,AD
CC-20090015,ideation .net Sample project,10,AD
KR-20090065,SKT ERP AM,20,AM
KR-20090066,SK Energy ERP Integration And Upgrade,10,AD
KR-20090067,EM CIC ERP Upgrade,20,AM
CC-20090003,General Project-MS,80,CC
CC-20090004,Development Pool-MS,80,CC
KR-20090068,SK Stock System Construction-GDC,10,AD
KR-20090069,Aviation System Construction-1Team,20,AM
CC-20090005,General Project-BS,80,CC
CC-20090006,Development Pool-BS,80,CC
KR-20080002,08-Project,10,AD
CN-20090008,Speedmate China  System Building(HW/SW),50,SI(HW/SW)
CN-20090009,Speedmate China  System Building(AD),60,SI(AD)
CN-20090010,SKE TSP SR Lease,70,SI(AM)
CN-20090011,SKT Cyworld Access HW/SW Delivery,50,SI(HW/SW)
CN-20090012,SKT C-Mall Shopping Mall Building(HW/SW),50,SI(HW/SW)
CN-20090013,SKT C-Mall Shopping Mall Building(AD),60,SI(AD)
CN-20090014,SK Building 26F Construction(SKC),50,SI(HW/SW)
CN-20090015,SK Building 26F Construction(SKE),50,SI(HW/SW)
CN-20090016,SKT JV HW/SW Delivery,50,SI(HW/SW)
CN-20090017,IMS_SKT_JV,40,DC
CN-20090018,IMS_SKT Cyworld,40,DC
CN-20090019,IMS_SKT C-Mall,40,DC
CN-20090020,IMS_SKN Speedmate,40,DC
CN-20090022,RIM Monitoring- SKCC,30,RIM
CN-20090023,SK Building 26F Construction(XJC),50,SI(HW/SW)
CN-20090024,SK Building 26F Construction(CVG),50,SI(HW/SW)
CN-20090025,SK Building 26F Construction(GUOMAO),50,SI(HW/SW)
CN-20090026,SK Building AV Systems Moving And Setting(SKC),50,SI(HW/SW)
CN-20090027,SK Building AV Systems Moving And Setting(SKE),50,SI(HW/SW)
CN-20090028,SK Building AV Systems Moving And Setting(CVG),50,SI(HW/SW)
CN-20090029,SK Building AV Systems Moving And Setting(GUOMAO),50,SI(HW/SW)
CN-20090030,SK Building 39，40F AV system Construction,50,SI(HW/SW)
KR-20090132,Customer Approval E-Sign,20,AM
KR-20090148,SKT-CI＆O-09-2,20,AM
KR-20090134,SK Shipping Renewal Project,10,AD
KR-20090135,SKT Brand Management System AD,10,AD
CN-20090031,SK Building 39，40 F AV System Construction(SKT - KR),50,SI(HW/SW)
CN-20090034,SK Building 25F AV systems Moving＆Setting(SKTC),50,SI(HW/SW)
CN-20090035,SK Building 25F AV Cable Construction(SKCC),50,SI(HW/SW)
CN-20090036,SK Building 23F Construction(SK E＆C),50,SI(HW/SW)
CN-20090037,SK Building 23F Construction(SK Chemical),50,SI(HW/SW)
CN-20090038,SK Building 23F Construction(SK E＆S),50,SI(HW/SW)
CN-20090039,SK Building 24F Construction(SK China),50,SI(HW/SW)
KR-20090075,SK E＆C MIS MA-2,20,AM
KR-20090076,SK E＆C MIS MA-3,20,AM
KR-20090137,Terminal AS System Separation and Improvement,10,AD
KR-20090138,SKT ORDER-09,20,AM
KR-20090139,SKT PRM-09,20,AM
KR-20090140,SKT CDS-09-2,20,AM
KR-20090093,SKT Tworld Improvement and Mall Construction-1,10,AD
KR-20090141,SKT ASP/BP Problem Management System-NEW,10,AD
KR-20090142,SKT-Request-09-2,20,AM
KR-20090143,SKT-MD-09-2,20,AM
KR-20090144,SKT-CDM-09-2,20,AM
KR-20090145,SKT-Nonpayment-09-2,20,AM
KR-20090146,SKT-CTC-09-2,20,AM
KR-20090147,SKT-DBM-09-2,20,AM
KR-20090133,SKCC EBP MA,20,AM
KR-20090149,SK Energy ERP Upgrad,10,AD
CC-20090017,Second Project,80,CC
KR-20090115,SKT-CLI-09-1,20,AM
KR-20090116,SKT-CA-09,20,AM
KR-20090117,ASP/BP II-2,10,AD
KR-20090118,ASP/BP II-3,10,AD
KR-20090119,SKT Tworld Particular mall Construction-2,10,AD
KR-20090120,SKT Tworld Particular mall Construction-3,10,AD
KR-20090114,SKT-CDS-09-1,20,AM
KR-20090124,tester Operation,10,AD
KR-20090113,SKT-CI＆O-09,10,AD
KR-20090121,SKT Tworld Particular mall Construction-4,10,AD
KR-20090112,SKT-DBM-09,20,AM
KR-20090122,SKT Tworld Particular mall Construction-5,10,AD
KR-20090111,SKT-CTC-09,20,AM
KR-20090109,SKT-Nonpayment-09,20,AM
KR-20090123,SI Project(EI),10,AD
KR-20090125,SKT-CDS-09,20,AM
KR-20090126,SI Project-1,10,AD
KR-20090127,SI Project-2,10,AD
KR-20090108,SKT-CDM-09,20,AM
KR-20090128,SKT CIES Speedup-2,10,AD
KR-20090107,SKT-MD-09,20,AM
KR-20090129,SKT PS System construction,10,AD
KR-20090106,SKT-Payment-09,20,AM
KR-20090105,2009 T-world Operation,20,AM
KR-20090130,SKT Tworld Particular mall Construction-6,10,AD
KR-20090102,2009 TCC Operation,20,AM
KR-20090131,2009 QMO Operation,20,AM
KR-20090103,General Handling System Construction,10,AD
KR-20090094,EI interface Structure Improve,10,AD
KR-20090099,SKT EI-Operation 09,20,AM
KR-20090104,SKT Tworld Improvement and Mall construction-7,10,AD
KR-20090092,SKT PS Construction,10,AD
KR-20090091,SKT CIES Speedup-1,10,AD
KR-20090096,ASP/BP II-1,10,AD
KR-20090110,SKN Telecommunication MIS Renewal,10,AD
KR-20090090,SK Telecom PS GW,10,AD
KR-20090089,SKC HAAS Implementation-2-1,20,AM
KR-20090088,SK Shipping AWACS,10,AD
KR-20090087,SKN POS OP,40,DC
KR-20090086,SKN(ES) MIS(c)_EM,20,AM
KR-20090085,SKN(ES) MIS(s)_EM,20,AM
KR-20090084,SKN Network System OP,20,AM
KR-20090083,SK E＆C MIS MA-1,20,AM
KR-20090081,SK HC ERP MA,20,AM
KR-20090080,SK Energy ERP MA,20,AM
KR-20090079,SK Holdings GW-1,20,AM
KR-20090078,SK Energy HiOK e-Approval,40,DC
KR-20090077,SK Energy HiOK Mail/Organization,20,AM
KR-20090074,SK E＆C MIS MA,20,AM
KR-20090073,SKCC ERP/BW MA,20,AM
KR-20090072,SKCC HiSK,20,AM
CC-20090016,SKMS Survey project,80,CC
KR-20090070,TU Media 09 IT Operation,20,AM
GD-20080062,PIS AD Project-2,10,AD
KR-20080061,SKN Telecommunication(Retail),20,AM
KR-20090150,SKT CPP-09,20,AM
CN-20090040,RIM Monitoring-SKCC-2,30,RIM
KR-20081010,AAA,10,AD
KR-20090041,SK Holdings GW-2,20,AM
KR-20081100,SSS,10,AD
KR-20090071,SKT Intranet Information,20,AM
KR-20090082,SKT ERP XX-09,20,AM
KR-20090151,SKT-CLI-09-2,20,AM
KR-20090152,KR-20090020,10,AD
KR-20090153,SKC HAAS Implementation-2-2,20,AM
KR-20090154,SKCC EBP,10,AD
CN-20090041,SKT C-Mall Outsoursing,20,AM
CN-20090042,SKT_JV TSP Outsourcing(AM),20,AM
CN-20090043,SKT_JV TSP Outsourcing(AD),60,SI(AD)
CN-20090044,SKT_JV HW/SW Delivery,50,SI(HW/SW)
KR-20090155,SK TELCOM(PS) GW,10,AD
CC-20090018,General Project- PS,80,CC
CC-20090019,Development Project-Test,80,CC
CC-20090020,Development - Translator,80,CC
CC-20090021,Development Project-QA,80,CC
CN-20090045,SK Building 39，40F AV System Construction HW／SW (S-1,50,SI(HW/SW)
CN-20090046,SK Building 39，40F AV System Construction HW／SW (S-2,50,SI(HW/SW)
CN-20090050,RIM Monitering-SKCC-4,30,RIM
KR-20090228,SK TELECOM number difference,10,AD
KR-20090226,SK TELECOM -M,10,AD
KR-20090221,sk TELECOM finance extension,10,AD
KR-20090225,exploitation,10,AD
KR-20090222,terminal A/S,10,AD
KR-20090219,SK TELECOM T WORLD-09,10,AD
KR-20090214,(0214)SKE SHE MIS Projec,10,AD
KR-20090213,SKN,10,AD
KR-20090181,tester 운용,10,AD
KR-20090180,단말기AS시스템분리및기능개선,10,AD
KR-20090179,SKT-CDS-09,10,AD
KR-20090178,SKT CIES 고도화,10,AD
KR-20090182,SKT EI-Operate-09,10,AD
KR-20090183,SKT-CLI-09,10,AD
KR-20090184,EI interface 구조개선,10,AD
KR-20090187,SKT PS 시스템 구축,10,AD
KR-20090185,SKT ASP/BP 장애모니터링시스템개발,10,AD
KR-20090186,SKT Tworld 전용몰구축,10,AD
KR-20090205,SKC HAAS On-Going Service,20,AM
KR-20090171,NUMS,20,AM
KR-20090162,Roaming,20,AM
KR-20090167,Automatic Payment,20,AM
KR-20090230,(0230)SKT ERP MA,20,AM
KR-20090229,(0229)SKCC ERP/BW MA,20,AM
KR-20090212,(0212)EM CIC,20,AM
KR-20090193,(0193)SK E&amp;C MIS MA,20,AM
KR-20090196,(0196)SK E&amp;C MIS MA,20,AM
KR-20090195,(0195)SK E&amp;C MIS MA,20,AM
CN-20090051,GDC Management Infra OP,20,AM
KR-20090215,(0215)SK Networks Groupware,20,AM
KR-20090224,SKT-back -09,20,AM
KR-20090223,SKT-CTC-09,20,AM
KR-20090227,SKT-CDM-09,20,AM
KR-20090220,SKT CA-09,20,AM
KR-20090218,2009 T-world,20,AM
KR-20090217,patronage information,20,AM
KR-20090216,2009 TCC operation.,20,AM
KR-20090210,(0210)2009 SKEnergy baan MA,20,AM
KR-20090211,(0211)SK Nxmile MA,20,AM
KR-20090200,SK Energy MIS MS. Upgrade OP,20,AM
KR-20090201,SK Energy MIS Retail/Sales Upgrade OP,20,AM
KR-20090194,SK건설-MIS_경영지원-09,20,AM
KR-20090198,SK Energy HiOK Mail/Organization,20,AM
KR-20090192,SKN(ES) MIS(s)_EM2,20,AM
KR-20090191,SKN(ES) MIS(c)_EM2,20,AM
KR-20090190,SKN(ES) MIS(o)_EM2,20,AM
KR-20090209,SKN POS OP,20,AM
KR-20090207,SKCC MIS MA,20,AM
KR-20090206,SKE&amp;S 09 ERP MA,20,AM
KR-20090189,SKCC Biz. Supproting MA,20,AM
KR-20090204,ERP_SKHC-09,20,AM
KR-20090203,ERP_SK에너지-09,20,AM
KR-20090202,SKT ERP MA-09,20,AM
KR-20090199,SK Energy MIS PD. Upgrade OP,20,AM
KR-20090197,SKT 인트라넷 정보관리-09,20,AM
KR-20090157,SK SK Enclean Portal-09-04,20,AM
KR-20090208,SKN 09 MIS_Fashion,20,AM
KR-20090169,2009 QMO operation,20,AM
KR-20090188,NXMile System-09-04,20,AM
KR-20090177,POS Project2009_SKN-3,20,AM
KR-20090172,2009 SKNetworks Security OP,20,AM
KR-20090166,SKT-CI/O-09,20,AM
KR-20090156,SKT CA-09,20,AM
KR-20090176,SK EC MIS MA-3/1,20,AM
KR-20090175,SK EC MIS MA-03 /2,20,AM
KR-20090174,SK EC MIS MA-03 /3,20,AM
KR-20090173,SK EC MIS MA-03,20,AM
KR-20090158,SKT-claim-09,20,AM
CN-20090048,Speedmate(china)-3,20,AM
KR-20090161,SKT-CDM-09,20,AM
KR-20090159,SKT-MD-09,20,AM
KR-20090165,SKT-DBM-09,20,AM
KR-20090164,SKT-CTC-09,20,AM
KR-20090163,SKT-MN-09,20,AM
KR-20090170,2009 TCC Operation,20,AM
KR-20090168,2009 T-world operation,20,AM
KR-20090160,TCC Maintenance,20,AM
CN-20090047,SK Enclean Portal-09-4,20,AM
CN-20090049,RIM Monitering-skcc-3,30,RIM
CC-20090022,General Management - Telecom,80,CC
CC-20090025,EM ART Proposal,80,CC
CC-20090024,Developers pool,80,CC
CC-20090023,HR&amp;MM Management,80,CC
CN-20090052,RIM Monitoring-SKCC-5,30,RIM
CN-20090053,HR System Building (SKE),60,SI(AD)
CN-20090054,HR System Building (SKC),50,SI(HW/SW)
CN-20090055,SK China HRMS,10,AD
CN-20090056,SK Energy China HRMS,10,AD
CN-20090062,RIM Monitoring_SKCC_June,30,RIM
KR-20090231,GDC M.I,10,AD
KR-20090234,SKT online products sales,10,AD
KR-20090248,SKC HAAS Implementation-2,20,AM
KR-20090250,Enclean DW 운영_09_SK에너지,20,AM
KR-20090252,SKN 09 MIS(s)_EM사업관리,20,AM
KR-20090253,SKN 09 MIS(o)_EM사업관리,20,AM
CN-20090059,ITO OIM For SK China,90,OIM
CN-20090060,ITO OIM For SK Energy,90,OIM
CN-20090061,ITO OIM For SK Telecom,90,OIM
CN-20090057,ITS,10,AD
CN-20090063,Building Management System (HW/SW),50,SI(HW/SW)
CN-20090064,Building Mangement System (Service),60,SI(AD)
KR-20090256,SK건설-MIS_경영지원 - 09,20,AM
KR-20090249,SK건설-MIS_사업관리-09,20,AM
KR-20090243,SKT External information function,10,AD
KR-20090282,SKT nonpayment consultation a system,10,AD
CN-20090065,SK Building 23F TFT Construction,50,SI(HW/SW)
CN-20090066,RIM Monitoring - SKCC-July,30,RIM
KR-20090397,FWK 및 자동화 도구 개발 및 개선(단위테스트 자동화도구 개발),20,AM
KR-20090268,(268)SK에너지 MIS 경영지원 개선,20,AM
KR-20090266,SK 엔크린 포탈-09,20,AM
KR-20090244,SK Gas 09-MIS_ Retail / Sales / Logistics Manageme,20,AM
KR-20090260,09-SK Energy security control operations,20,AM
KR-20090261,09-Security control operations,20,AM
KR-20090259,09-Security control   operations,20,AM
KR-20090257,2009년 보안관제 운영,20,AM
KR-20090263,SK Telesys IT,20,AM
KR-20090317,CPinformation utilization,10,AD
KR-20090315,WIBRO  business computer development,10,AD
KR-20090328,SKT Msubmit a bill improvement reissue incarnation,10,AD
KR-20090309,nonpartisanship business a monitor system building,10,AD
KR-20090338,SKT patronage information application  strengthe,10,AD
KR-20090360,SKT U.key structureadvanced,10,AD
KR-20090318,lessor and lessee official a process improvement,10,AD
KR-20090342,SKT Ukey relief altitude Appl. power improvement,10,AD
KR-20090311,CSpar and ventilation a government official,10,AD
CN-20090067,SK Building 23F Construction(SK GAS),50,SI(HW/SW)
KR-20090371,SKT Real-time IP Mediation Improvements,10,AD
KR-20090331,SKT roming and usury construction,10,AD
KR-20090359,SKT F fare  development,10,AD
KR-20090334,SKT nonpayment monitor usury altitude development,10,AD
KR-20090271,SKB Easy chrous lite,10,AD
KR-20090336,SKT nonpayment consultation channel altitude,10,AD
KR-20090333,SKT Account service officialdom  systematic  build,10,AD
KR-20090335,SKTtermination bond aerated water process ealizati,10,AD
KR-20090337,SkT nonpayment counsel system altitude,10,AD
KR-20090355,SKT taxpayer/bond officialdom process building,10,AD
KR-20090310,SKTnumber rambling  a process,10,AD
KR-20090330,on-line commonness joining wire commoditiesdevelo,10,AD
KR-20090369,SKT Sales material management system Development,10,AD
KR-20090233,Custom COC POS station to improve,10,AD
KR-20090391,SKN 정보통신유통사업부문 영업시스템 재구축 2차,20,AM
CN-20090068,SKT China SSO,60,SI(AD)
KR-20090394,(394)SK건설-MIS_인사_09,20,AM
KR-20090383,SKLMS-09,20,AM
KR-20090258,SK energy security environmental health operat,20,AM
KR-20090264,(0264)SK 엔크린 포탈-09,20,AM
KR-20090270,(270)POS프로젝트2009_SKN,20,AM
KR-20090288,SK건설-MIS__사업관리-09,20,AM
KR-20090289,(289)SK건설-MIS_경영지원-09,20,AM
KR-20090303,화물정보망 기능 고도화,10,AD
KR-20090304,화물정보망_기능 고도화,10,AD
